# .PCD v.7 - Point Cloud Data file format
VERSION .7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 54272
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 54272
DATA ascii
 -42.68232 289.26968 627.0
 -43.090763 295.50195 633.0
 -43.56728 302.27222 640.0
 -43.703426 306.73026 642.0
 -43.703426 310.24365 642.0
 -43.771503 314.24582 643.0
 -43.771503 317.7647 643.0
 -43.771503 321.2836 643.0
 -43.975723 326.3179 646.0
 -43.90765 329.3426 645.0
 -44.0438 333.90457 647.0
 -44.316093 339.5316 651.0
 -44.45224 344.14832 653.0
 -44.520313 348.25443 654.0
 -44.79261 353.9854 658.0
 -45.064907 359.76013 662.0
 -45.132977 363.93195 663.0
 -45.405277 369.77786 667.0
 -45.609497 375.10767 670.0
 -45.677574 379.33966 671.0
 -45.949867 385.295 675.0
 -46.086014 390.14157 677.0
 -46.35831 396.17355 681.0
 -46.69868 402.83655 686.0
 -47.175198 410.73965 693.0
 -45.511116 -408.5914 727.0
 -45.573715 -405.16934 728.0
 -45.76152 -402.8385 731.0
 -45.949326 -400.47485 734.0
 -46.38753 -400.2389 741.0
 -46.70054 -398.85696 746.0
 -47.201347 -399.0079 754.0
 -47.76476 -399.595 763.0
 -48.20297 -399.04712 770.0
 -48.390778 -396.37152 773.0
 -48.641182 -394.17035 777.0
 -49.01679 -392.92908 783.0
 -49.267193 -390.62946 787.0
 -49.5802 -388.7769 792.0
 -49.893208 -386.8696 797.0
 -50.20621 -384.90762 802.0
 -50.456615 -382.4164 806.0
 -50.707024 -379.88144 810.0
 -50.894825 -376.8392 813.0
 -51.08263 -373.7641 816.0
 -51.207832 -370.20355 818.0
 -51.333035 -366.6212 820.0
 -51.27043 -361.69202 819.0
 -51.333035 -357.6461 820.0
 -51.27043 -352.72784 819.0
 -51.207832 -347.8206 818.0
 -51.27043 -343.7637 819.0
 -51.27043 -339.28165 819.0
 -51.333035 -335.20837 820.0
 -51.207832 -329.91418 818.0
 -51.14523 -325.03973 817.0
 -50.769623 -318.2144 811.0
 -50.51922 -312.22845 807.0
 -50.01841 -304.76065 799.0
 -49.642796 -298.13232 793.0
 -49.5802 -293.42203 792.0
 -49.39239 -287.9927 789.0
 -49.01679 -281.51758 783.0
 -48.641182 -275.10815 777.0
 -48.453373 -269.81015 774.0
 -48.20297 -264.20187 770.0
 -47.88996 -258.2997 765.0
 -47.639557 -252.78447 761.0
 -47.326557 -246.9863 756.0
 -47.201347 -242.20656 754.0
 -46.950943 -236.81715 750.0
 -46.763145 -231.78186 747.0
